,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
0,(그림과 실습으로 배우는) 도커 & 쿠버네티스:개념과 작동 원리가 쏙쏙 이해되는 완벽 입문서 ,오가사와라 시게타카 지음 ;심효섭 옮김,위키북스,9791158393038,005.1,2022-06-22,http://image.kyobobook.co.kr/images/book/large/038/l9791158393038.jpg
1,"도메인 주도 설계 첫걸음:소프트웨어 아키텍처와 비즈니스 전략의 일치를 위한 핵심 패턴, 원칙, 실천법","블라드 코노노프 지음;김민석,오창윤 옮김",위키북스,9791158393359,005.115,2022-06-22,http://image.kyobobook.co.kr/images/book/large/359/l9791158393359.jpg
2,"(눈 떠보니) 메타버스 마스터 :메타버스 플랫폼(이프랜드, 제페토, 게더타운) 활용 가이드 ","최재용,진성민 지음",光文閣,9788970936208,004.783,2022-06-15,http://image.kyobobook.co.kr/images/book/large/208/l9788970936208.jpg
3,혼자 공부하는 얄팍한 코딩 지식 ,고현민 지음,한빛미디어,9791162245552,005.13,2022-06-15,http://image.kyobobook.co.kr/images/book/large/552/l9791162245552.jpg
4,(Do it!) 점프 투 파이썬 :라이브러리 예제 편 ,박응용 지음,이지스퍼블리싱,9791163033554,005.133,2022-06-15,http://image.kyobobook.co.kr/images/book/large/554/l9791163033554.jpg
5,(한 권으로 끝내는) 메타버스 크리에이터 ,주종민 지음,생능북스,9788970505411,004.783,2022-06-15,http://image.kyobobook.co.kr/images/book/large/411/l9788970505411.jpg
6,야사와 만화로 배우는 인공지능,"권건우,김가인,전준혁,허령 지음",루나파인북스,9791197119927,004.73,2022-06-15,http://image.kyobobook.co.kr/images/book/large/927/l9791197119927.jpg
7,"전길남, 연결의 탄생: 한국 인터넷의 개척자 전길남 이야기",구본권 지음,김영사,9788934961772,004.58,2022-06-07,http://image.kyobobook.co.kr/images/book/large/772/l9788934961772.jpg
8,실무자를 위한 그래프 데이터 활용법:그래프 씽킹으로 시작하는 그래프 데이터베이스 사용 안내서,"데니즈 고즈넬,마티아스 브뢰헬러 지음;우정은 옮김",한빛미디어,9791162245590,005.75,2022-06-07,http://image.kyobobook.co.kr/images/book/large/590/l9791162245590.jpg
9,"그림으로 이해하는 AWS 구조와 기술 =The structure and technology of AWS :AWS, 쉽고 재미있게 시작하자! ",오가사와라 시게타카 지음 ;성창규 옮김,길벗,9791165215682,004.588,2022-05-30,http://image.kyobobook.co.kr/images/book/large/682/l9791165215682.jpg
